time,open,high,low,close,volume
2025-08-05 11:15:00,1.15426,1.15459,1.15371,1.15431,978
2025-08-05 11:30:00,1.15431,1.15446,1.15348,1.1535,874
2025-08-05 11:45:00,1.15349,1.15372,1.15313,1.15368,1043
2025-08-05 12:00:00,1.15368,1.15385,1.153,1.15382,956
2025-08-05 12:15:00,1.15379,1.1545,1.15372,1.15435,750
2025-08-05 12:30:00,1.15432,1.1543700000000001,1.15384,1.15389,629
2025-08-05 12:45:00,1.15389,1.15464,1.15389,1.15422,810
2025-08-05 13:00:00,1.15421,1.1544699999999999,1.15366,1.1542,875
2025-08-05 13:15:00,1.15419,1.1542,1.15344,1.15355,747
2025-08-05 13:30:00,1.15355,1.1545,1.1534200000000001,1.15446,625
2025-08-05 13:45:00,1.15445,1.15458,1.15419,1.15442,618
2025-08-05 14:00:00,1.15441,1.15442,1.15375,1.15391,718
2025-08-05 14:15:00,1.15392,1.15479,1.15374,1.15438,791
2025-08-05 14:30:00,1.15438,1.15439,1.15276,1.15327,918
2025-08-05 14:45:00,1.15324,1.15399,1.15321,1.15397,942
2025-08-05 15:00:00,1.15396,1.15486,1.15366,1.1540300000000001,1202
2025-08-05 15:15:00,1.15406,1.15434,1.15303,1.15368,1490
2025-08-05 15:30:00,1.15367,1.15408,1.15302,1.15398,1148
2025-08-05 15:45:00,1.15398,1.1542,1.15328,1.15372,1006
2025-08-05 16:00:00,1.1537600000000001,1.15432,1.15366,1.15432,1035
2025-08-05 16:15:00,1.15431,1.15521,1.15409,1.1550799999999999,1020
2025-08-05 16:30:00,1.15515,1.15544,1.15483,1.15502,1170
2025-08-05 16:45:00,1.15504,1.1551,1.15322,1.15333,1380
2025-08-05 17:00:00,1.1541299999999999,1.15583,1.15358,1.15407,2730
2025-08-05 17:15:00,1.15409,1.15461,1.15337,1.15439,1986
2025-08-05 17:30:00,1.15438,1.1559,1.15391,1.15582,1503
2025-08-05 17:45:00,1.15581,1.15661,1.15521,1.15652,1556
2025-08-05 18:00:00,1.15652,1.15787,1.15628,1.15783,1413
2025-08-05 18:15:00,1.15782,1.15848,1.15757,1.15793,1011
2025-08-05 18:30:00,1.15793,1.15823,1.15746,1.1582,1296
2025-08-05 18:45:00,1.15818,1.15828,1.15746,1.15796,904
2025-08-05 19:00:00,1.15796,1.1585,1.15786,1.15845,873
2025-08-05 19:15:00,1.15845,1.15851,1.15772,1.15823,656
2025-08-05 19:30:00,1.15823,1.1586,1.15796,1.15799,734
2025-08-05 19:45:00,1.15798,1.15839,1.15794,1.15828,618
2025-08-05 20:00:00,1.15828,1.15829,1.1578,1.15802,613
2025-08-05 20:15:00,1.1580300000000001,1.15831,1.15793,1.15802,542
2025-08-05 20:30:00,1.15805,1.15831,1.1579,1.15818,544
2025-08-05 20:45:00,1.15814,1.15819,1.15755,1.15782,494
2025-08-05 21:00:00,1.15781,1.15796,1.15743,1.15755,628
2025-08-05 21:15:00,1.15754,1.15764,1.15736,1.15753,574
2025-08-05 21:30:00,1.1575199999999999,1.15778,1.15738,1.15757,501
2025-08-05 21:45:00,1.15757,1.15758,1.15703,1.15735,586
2025-08-05 22:00:00,1.15735,1.15736,1.15664,1.15702,596
2025-08-05 22:15:00,1.15701,1.15703,1.15678,1.1569,508
2025-08-05 22:30:00,1.1569099999999999,1.15712,1.15687,1.15711,400
2025-08-05 22:45:00,1.15711,1.1575,1.15707,1.15727,593
2025-08-05 23:00:00,1.15727,1.1575199999999999,1.15724,1.15725,332
2025-08-05 23:15:00,1.15725,1.1575,1.1572,1.15734,374
